"","player_name","player_id","combWoba","combXwoba","combLaunch_angle","combLaunch_speed","combBatted_ball_direction_0","combBatted_ball_direction_1","combBatted_ball_direction_2"
"42","Robinson Cano","429664","0.382520474137931","0.403502155172414","8.29089439655172","90.849838362069","632","765","459"
"43","Edwin Encarnacion","429665","0.412961883408072","0.434599775784753","16.6002242152466","90.067600896861","817","616","351"
"44","J.J. Hardy","429666","0.3055589569161","0.312863945578231","10.1537414965986","87.9451247165533","328","371","183"
"45","Ryan Howard","429667","0.402280797101449","0.48745652173913","15.5653985507246","91.5184782608696","247","205","100"
"46","Franklin Gutierrez","429711","0.470003086419753","0.485305555555556","9.18518518518519","90.9086419753087","124","139","61"
"47","Grady Sizemore","429713","0.346939252336449","0.366626168224299","12.5439252336449","89.188785046729","84","65","65"
"48","Rickie Weeks Jr.","430001","0.38374358974359","0.402222222222222","11.3991452991453","89.0803418803419","82","102","50"
"49","David DeJesus","430203","0.293344537815126","0.316588235294118","12.672268907563","86.8386554621849","86","90","62"
"50","Ryan Raburn","430605","0.440170886075949","0.399629746835443","11.1367088607595","89.3955696202532","123","107","86"
"51","Kelly Johnson","430637","0.369884453781513","0.367207983193277","11.8365546218487","87.2775210084034","184","183","109"
"52","Jose Bautista","430832","0.372580997949419","0.388237867395762","17.0967874231032","90.6902255639098","641","546","276"
"53","Brayan Pena","430910","0.284987220447284","0.27761661341853","6.66900958466454","84.7929712460064","95","136","82"
"54","Adam Jones","430945","0.370743695316521","0.368266598044261","12.639526505404","87.6791559444159","725","735","483"
"55","Erick Aybar","430947","0.293870829769033","0.284076988879384","4.60795551753636","82.7386655260907","429","449","291"
"56","Alberto Callaspo","430948","0.259603015075377","0.2881608040201","12.2085427135678","83.8190954773869","72","74","53"
"57","Aaron Hill","431094","0.295719814241486","0.312735294117647","15.0808049535604","87.4026315789474","262","233","151"
"58","Russell Martin","431145","0.358277183600713","0.367978609625668","8.79429590017825","88.8782531194296","385","449","288"
"59","David Wright","431151","0.410666666666667","0.476521367521368","17.1042735042735","89.3700854700855","78","92","64"
"60","Casey McGehee","431171","0.255605263157895","0.318473684210526","5.57744360902256","88.915037593985","64","125","77"
"61","Andres Blanco","433217","0.361772727272727","0.32895","7.93363636363636","86.3872727272727","154","170","116"
"62","Curtis Granderson","434158","0.388371967654987","0.395036388140162","18.2535040431267","88.1261455525606","658","530","296"
"63","Carlos Ruiz","434563","0.291256360078278","0.334070450097847","11.0831702544031","86.1620352250489","169","187","155"
"64","Geovany Soto","434567","0.396391705069124","0.436663594470046","12.9396313364055","88.6235023041475","80","85","52"
"65","Michael Morse","434604","0.351972677595628","0.42603825136612","2.36885245901639","90.3147540983607","65","64","54"
"66","Angel Pagan","434636","0.324902777777778","0.321361111111111","11.8069444444444","85.9944444444444","300","324","240"
"67","Rajai Davis","434658","0.339109108159393","0.310374762808349","12.0360531309298","85.2738140417457","378","385","291"
"68","Hanley Ramirez","434670","0.379620137299771","0.390209000762777","9.72547673531655","89.9552250190694","453","539","319"
